Nro Factura,valor_capital,fecha_abono,fecha_factura,demora_pago,habito_pago
102364,3998839,30/12/2019,16/12/2016,1109,0.0
102365,1599536,30/12/2019,16/12/2016,1109,0.0
102377,1199652,28/12/2018,16/12/2016,742,0.0
102563,1316825,28/12/2018,17/01/2017,710,0.0
102625,877883,28/12/2018,17/01/2017,710,0.0
102660,1755766,28/12/2018,18/01/2017,709,0.0
102843,1755766,28/12/2018,18/01/2017,709,0.0
102846,739118662,30/10/2018,18/01/2017,650,0.0
102899,2633650,28/12/2018,18/01/2017,709,0.0
102948,2633650,10/10/2018,19/01/2017,629,0.0
102949,877883,10/10/2018,19/01/2017,629,0.0
102950,877883,10/10/2018,19/01/2017,629,0.0
102977,877883,30/04/2018,19/01/2017,466,0.0
102978,1755766,31/10/2018,19/01/2017,650,0.0
103010,1755766,31/08/2018,19/01/2017,589,0.0
103011,5267299,31/08/2018,19/01/2017,589,0.0
103012,1755766,30/12/2019,19/01/2017,1075,0.0
103013,4389416,30/12/2019,19/01/2017,1075,0.0
103030,877883,29/12/2020,20/01/2017,1439,0.0
103033,276704678,30/12/2019,20/01/2017,1074,0.0
103102,28060820,28/12/2018,27/01/2017,700,0.0
103103,28060804,28/12/2018,27/01/2017,700,0.0
103117,877883,28/12/2018,31/01/2017,696,0.0
103176,877883,29/12/2020,09/02/2017,1419,0.0
103183,1316825,28/12/2018,10/02/2017,686,0.0
103241,877883,28/12/2018,10/02/2017,686,0.0
103365,877883,28/12/2018,13/02/2017,683,0.0
103399,1633650,15/05/2018,13/02/2017,456,0.0
103400,2633650,10/10/2018,13/02/2017,604,0.0
103401,877883,10/10/2018,13/02/2017,604,0.0
103402,877883,10/10/2018,13/02/2017,604,0.0
103425,877883,30/04/2018,13/02/2017,441,0.0
103426,1755766,31/10/2018,13/02/2017,625,0.0
103428,14256824,30/12/2019,13/02/2017,1050,0.0
103523,739118662,28/11/2018,14/02/2017,652,0.0
103569,1316825,29/12/2020,14/02/2017,1414,0.0
103623,1755766,28/12/2018,14/02/2017,682,0.0
103628,1755766,28/12/2018,14/02/2017,682,0.0
103900,1316825,28/12/2018,13/03/2017,655,0.0
103937,877883,29/12/2020,14/03/2017,1386,0.0
104056,1755766,28/12/2018,14/03/2017,654,0.0
104062,1316825,27/06/2018,14/03/2017,470,0.0
104067,1316825,29/12/2020,14/03/2017,1386,0.0
104226,877883,28/12/2018,14/03/2017,654,0.0
104258,2633650,15/05/2018,15/03/2017,426,0.0
104259,2633650,10/10/2018,15/03/2017,574,0.0
104260,877883,10/10/2018,15/03/2017,574,0.0
104261,877883,10/10/2018,15/03/2017,574,0.0
104286,877883,30/04/2018,15/03/2017,411,0.0
104287,1755766,31/10/2018,15/03/2017,595,0.0
104372,597379966,29/11/2018,15/03/2017,624,0.0
104451,1755766,28/12/2018,22/03/2017,646,0.0
104537,1316825,28/12/2018,10/04/2017,627,0.0
104556,1316825,30/12/2019,10/04/2017,994,0.0
104564,597379966,18/12/2018,10/04/2017,617,0.0
104607,1316825,26/07/2018,11/04/2017,471,0.0
104612,1316825,29/12/2020,11/04/2017,1358,0.0
104634,2633650,25/06/2018,11/04/2017,440,0.0
104635,2633650,10/10/2018,11/04/2017,547,0.0
104636,877883,10/10/2018,11/04/2017,547,0.0
104637,877883,10/10/2018,11/04/2017,547,0.0
104654,877883,29/12/2020,11/04/2017,1358,0.0
104706,1221539,28/12/2018,12/04/2017,625,0.0
104938,1931343,28/12/2018,17/04/2017,620,0.0
104942,1316825,28/12/2018,17/04/2017,620,0.0
104947,1316825,28/12/2018,17/04/2017,620,0.0
105019,877883,30/04/2018,17/04/2017,378,0.0
105020,1755766,31/10/2018,17/04/2017,562,0.0
105039,877883,28/12/2018,17/04/2017,620,0.0
105120,392865898,24/01/2018,21/04/2017,278,0.0
105131,1755766,28/12/2018,25/04/2017,612,0.0
105193,1316824,26/01/2018,30/04/2017,271,0.0
105221,1755766,28/12/2018,11/05/2017,596,0.0
105235,877883,28/12/2018,12/05/2017,595,0.0
105270,1316825,30/12/2019,12/05/2017,962,0.0
105327,877883,29/12/2020,12/05/2017,1327,0.0
105536,739118662,18/12/2018,15/05/2017,582,0.0
105584,73149672,24/01/2018,15/05/2017,254,0.0
105613,2633650,25/06/2018,15/05/2017,406,0.0
105614,2633650,10/10/2018,15/05/2017,513,0.0
105615,877883,10/10/2018,15/05/2017,513,0.0
105616,877883,10/10/2018,15/05/2017,513,0.0
105625,1755766,28/12/2018,15/05/2017,592,0.0
105639,877883,30/04/2018,15/05/2017,350,0.0
105640,1755766,31/10/2018,15/05/2017,534,0.0
105675,1316825,26/07/2018,16/05/2017,436,0.0
105680,1316825,29/12/2020,16/05/2017,1323,0.0
105720,1931343,28/12/2018,16/05/2017,591,0.0
105724,1316825,28/12/2018,16/05/2017,591,0.0
105729,1316825,28/12/2018,16/05/2017,591,0.0
105750,1316825,28/12/2018,16/05/2017,591,0.0
105757,14754294,28/12/2018,16/05/2017,591,0.0
105817,746200,07/02/2018,31/05/2017,252,0.0
105842,1252886,28/12/2018,31/05/2017,576,0.0
105869,7567747,30/12/2019,31/05/2017,943,0.0
105887,1316825,30/12/2019,13/06/2017,930,0.0
105952,877883,29/12/2020,14/06/2017,1294,0.0
105953,100626,30/11/2018,14/06/2017,534,0.0
105981,1931343,28/12/2018,14/06/2017,562,0.0
105983,1316825,28/12/2018,14/06/2017,562,0.0
105987,1316825,28/12/2018,14/06/2017,562,0.0
105991,1755766,29/06/2018,14/06/2017,380,0.0
105994,14754294,28/12/2018,14/06/2017,562,0.0
105998,2633650,17/08/2018,14/06/2017,429,0.0
106010,877883,30/04/2018,14/06/2017,320,0.0
106056,877883,28/12/2018,14/06/2017,562,0.0
106101,1316825,09/03/2018,15/06/2017,267,0.0
106163,1316825,29/08/2018,15/06/2017,440,0.0
106165,877883,28/12/2018,15/06/2017,561,0.0
106227,1316825,29/12/2020,15/06/2017,1293,0.0
106246,32090690,09/02/2018,15/06/2017,239,0.0
106273,588875668,31/01/2019,15/06/2017,595,0.0
106321,73149672,24/01/2018,15/06/2017,223,0.0
106353,1755766,31/10/2018,16/06/2017,502,0.0
106404,1755766,28/12/2018,16/06/2017,560,0.0
106408,10696873,13/02/2018,16/06/2017,242,0.0
106451,1755766,30/12/2019,20/06/2017,923,0.0
106571,1316825,30/12/2019,10/07/2017,903,0.0
106639,1931343,28/12/2018,12/07/2017,534,0.0
106641,1316825,28/12/2018,12/07/2017,534,0.0
106645,1316825,28/12/2018,12/07/2017,534,0.0
106649,1755766,29/06/2018,12/07/2017,352,0.0
106651,6996319,28/12/2018,12/07/2017,534,0.0
106652,14754294,28/12/2018,12/07/2017,534,0.0
106704,1316825,09/03/2018,12/07/2017,240,0.0
106745,739118662,06/03/2019,13/07/2017,601,0.0
106793,73149672,24/01/2018,13/07/2017,195,0.0
106849,877883,29/12/2020,14/07/2017,1264,0.0
106882,185953,06/03/2018,14/07/2017,235,0.0
106896,32090690,09/02/2018,14/07/2017,210,0.0
106911,2633650,17/08/2018,14/07/2017,399,0.0
106924,877883,30/04/2018,14/07/2017,290,0.0
106932,1316825,28/09/2018,14/07/2017,441,0.0
106935,1316825,29/12/2020,14/07/2017,1264,0.0
107020,1755766,28/12/2018,14/07/2017,532,0.0
107030,43894138,16/02/2018,14/07/2017,217,0.0
107098,1755766,30/12/2019,18/07/2017,895,0.0
107106,877883,28/12/2018,18/07/2017,528,0.0
107247,1316825,30/12/2019,14/08/2017,868,0.0
107268,1931343,28/12/2018,14/08/2017,501,0.0
107270,1316825,28/12/2018,14/08/2017,501,0.0
107273,1316825,29/06/2018,14/08/2017,319,0.0
107274,1316825,28/12/2018,14/08/2017,501,0.0
107278,1755766,29/06/2018,14/08/2017,319,0.0
107279,14754340,28/12/2018,14/08/2017,501,0.0
107280,14754294,28/12/2018,14/08/2017,501,0.0
107333,1199652,27/02/2018,15/08/2017,196,0.0
107343,588875668,20/03/2019,15/08/2017,582,0.0
107377,73149672,24/01/2018,15/08/2017,162,0.0
107394,877883,10/07/2018,15/08/2017,329,0.0
107405,877883,29/12/2020,16/08/2017,1231,0.0
107459,6791397,30/01/2018,16/08/2017,167,0.0
107474,2633650,06/03/2018,16/08/2017,202,0.0
107489,1755766,06/03/2018,16/08/2017,202,0.0
107503,877883,22/03/2018,16/08/2017,218,0.0
107519,1316825,09/03/2018,16/08/2017,205,0.0
107563,877851,28/12/2018,16/08/2017,499,0.0
107589,2633650,23/02/2018,17/08/2017,190,0.0
107634,1716730,29/06/2018,17/08/2017,316,0.0
107635,877883,29/06/2018,17/08/2017,316,0.0
107660,2633650,31/08/2018,17/08/2017,379,0.0
107662,2633650,31/01/2018,17/08/2017,167,0.0
107676,877883,30/04/2018,17/08/2017,256,0.0
107683,4389416,09/01/2018,17/08/2017,145,0.0
107685,1316825,28/09/2018,17/08/2017,407,0.0
107688,1316825,29/12/2020,17/08/2017,1230,0.0
107692,7023066,26/06/2018,17/08/2017,313,0.0
107696,117051,30/12/2019,17/08/2017,865,0.0
107709,877883,28/12/2018,17/08/2017,498,0.0
107753,1755766,28/12/2018,17/08/2017,498,0.0
107803,1755766,28/02/2018,24/08/2017,188,0.0
107804,175580,28/02/2018,25/08/2017,187,0.0
107806,43894162,28/02/2018,25/08/2017,187,0.0
107874,1209740,30/05/2018,11/09/2017,261,0.0
107879,721653,28/02/2018,11/09/2017,170,0.0
107890,1316825,30/12/2019,11/09/2017,840,0.0
107929,1316825,12/02/2018,12/09/2017,153,0.0
107930,1220307,12/02/2018,12/09/2017,153,0.0
107970,1316825,30/12/2019,13/09/2017,838,0.0
107972,58942,30/12/2019,13/09/2017,838,0.0
107978,8778832,20/03/2019,13/09/2017,553,0.0
108020,73149672,24/01/2018,13/09/2017,133,0.0
108022,877883,10/07/2018,13/09/2017,300,0.0
108049,877883,28/12/2018,13/09/2017,471,0.0
108073,1316825,09/03/2018,13/09/2017,177,0.0
108088,2633650,06/03/2018,13/09/2017,174,0.0
108091,2632804,09/01/2018,13/09/2017,118,0.0
108102,1755766,06/03/2018,13/09/2017,174,0.0
108103,799769,31/01/2018,13/09/2017,140,0.0
108116,877883,22/03/2018,13/09/2017,190,0.0
108172,1316825,23/02/2018,14/09/2017,162,0.0
108187,1755766,28/12/2018,14/09/2017,470,0.0
108202,2633650,30/12/2019,14/09/2017,837,0.0
108233,1755766,29/06/2018,14/09/2017,288,0.0
108234,877883,29/06/2018,14/09/2017,288,0.0
108286,10696897,30/01/2018,14/09/2017,138,0.0
108287,10696873,30/01/2018,14/09/2017,138,0.0
108301,4389416,09/01/2018,14/09/2017,117,0.0
108303,1316825,28/09/2018,14/09/2017,379,0.0
108308,2633650,26/06/2018,14/09/2017,285,0.0
108324,877883,28/12/2018,14/09/2017,470,0.0
108333,2633650,31/01/2018,14/09/2017,139,0.0
108335,-7023066,28/09/2018,14/09/2017,379,0.0
108352,4389416,17/01/2018,14/09/2017,125,0.0
108375,10848389,15/01/2018,14/09/2017,123,0.0
108385,1316825,27/02/2018,14/09/2017,166,0.0
108387,1931343,28/12/2018,14/09/2017,470,0.0
108389,1755766,28/02/2018,14/09/2017,167,0.0
108391,1316825,28/12/2018,14/09/2017,470,0.0
108395,1316825,29/06/2018,14/09/2017,288,0.0
108396,1316825,28/12/2018,14/09/2017,470,0.0
108400,14754340,28/12/2018,14/09/2017,470,0.0
108401,14754294,28/12/2018,14/09/2017,470,0.0
